Row;A. lactifloreus;B. unicolor;C. hamanako;C. hongkongiensis;C. simula;H. ijimai;L. longissimus;L. ruber;L. sanguineus;M. grossa;N. geniculatus;P. peregrina;R. occultus;T. polymorphus
phospholipase B-like family;0;1;1;0;1;0;0;0;0;0;1;0;1;1
venom metalloproteinase (M12B) family. P-I subfamily;0;0;0;0;0;0;0;0;1;0;0;0;1;0
venom metalloproteinase (M12B) family. P-II subfamily. P-IIa sub-subfamily;0;0;0;0;0;0;0;0;0;0;0;1;0;0
venom metalloproteinase (M12B) family. P-II subfamily. P-IIb sub-subfamily;0;0;0;0;0;1;0;0;0;0;0;0;0;0
venom metalloproteinase (M12B) family. P-II subfamily. P-IId sub-subfamily;0;0;0;1;0;0;0;0;0;0;0;0;0;0
venom metalloproteinase (M12B) family. P-II subfamily. P-IIe sub-subfamily;0;0;0;0;0;0;0;0;1;0;0;0;0;0
venom metalloproteinase (M12B) family. P-III subfamily. P-IIIa sub-subfamily;0;0;1;1;1;1;1;0;0;0;0;0;0;1
venom metalloproteinase (M12B) family. P-III subfamily. P-IIIb sub-subfamily;0;0;0;0;0;0;0;0;0;0;1;0;0;0
venom metalloproteinase (M12B) family. P-III subfamily;0;0;0;0;0;0;0;0;0;0;1;0;0;1
venom metalloproteinase (M12B) family;0;0;0;0;0;0;0;0;0;0;1;0;0;0
cystatin family;0;0;0;0;0;0;1;0;0;0;0;0;0;0
natriuretic peptide family;0;0;0;0;1;0;1;0;0;0;0;0;0;0
natriuretic peptide family;0;0;1;0;0;0;0;0;0;0;0;0;0;0
serine protease inhibitor-like (TIL domain-containing) family;0;0;0;0;0;1;0;0;0;0;0;0;0;0
venom Kunitz-type family. 02 (native) subfamily;1;0;0;0;0;0;0;0;0;1;0;0;0;0
venom Kunitz-type family. 03 (sub-Kunitz) subfamily;0;0;0;0;1;0;0;0;0;0;0;0;0;0
venom Kunitz-type family. Scorpion delta-Ktx subfamily. Delta-Ktx 1 sub-subfamily;0;0;0;0;0;0;1;0;0;0;0;0;0;0
venom Kunitz-type family. Scorpion delta-Ktx subfamily. Delta-Ktx 3 sub-subfamily;0;0;0;0;0;0;0;1;0;0;0;0;0;0
venom Kunitz-type family. Sea anemone type 2 potassium channel toxin subfamily;1;1;1;0;1;1;1;1;0;0;1;1;1;1
venom Kunitz-type family;1;1;1;0;1;1;1;0;1;1;1;1;1;1
conotoxin I3 superfamily;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CRISP family. Venom allergen 5-like subfamily;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CRISP family;0;1;1;1;1;1;1;1;1;1;1;0;1;1
jellyfish toxin family. Type II subfamily;0;0;0;0;1;0;0;0;0;0;0;0;0;0
scoloptoxin-05 family;0;0;1;1;1;0;0;0;0;0;1;0;0;0
scoloptoxin-11 family;1;1;1;0;1;0;1;0;1;0;1;1;1;1
sea anemone structural class 9a family;1;0;0;0;0;0;0;0;0;1;1;0;0;0
sea anemone type 5 potassium channel toxin family;0;0;0;1;1;0;0;0;0;0;0;0;0;1
ficolin lectin family. Veficolin subfamily;0;0;0;0;1;0;0;0;0;0;0;0;0;0
snaclec family;1;1;0;1;1;1;1;1;1;0;1;1;1;1
SNTX/VTX toxin family;0;1;0;1;1;1;0;1;1;1;1;1;1;1
true venom lectin family;1;1;0;0;1;1;1;1;1;1;1;0;1;0
AVIT (prokineticin) family;0;0;1;0;1;1;0;0;0;0;0;0;0;1
ConoCAP - like;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Conotoxin-like;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cytotoxin A-III - like;0;0;0;0;0;1;1;1;1;0;1;0;1;0
EGF domain peptide family;0;0;0;0;0;0;1;0;1;0;0;0;0;0
EGF-like, Sushi, TSP type-1, LDL-receptor class A;0;0;1;1;1;1;0;0;1;0;0;0;0;0
Elevenin-like;0;0;1;1;1;0;0;0;0;0;1;0;0;0
endothelin/sarafotoxin family;0;0;0;0;0;0;0;0;0;0;0;0;0;1
glycoprotein hormones subunit alpha family;0;1;1;0;0;0;1;1;1;0;1;0;0;0
glycoprotein hormones subunit beta family;0;0;1;0;0;0;1;1;0;0;1;0;0;0
IGFBP N-terminal domain;0;0;0;0;0;0;1;0;0;0;0;0;1;0
IGFBP N-terminal, Kazal-like, Ig-like C2-type;0;1;1;1;1;1;1;1;1;1;1;0;1;1
insulin family;0;0;0;0;0;0;1;0;1;0;1;0;1;0
insulin-like growth factor binding;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Insulin-like growth factor-binding protein domain, Kazal-type serine protease inhibitor domain, Immunoglobulin domain;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Kazal-like;0;0;0;0;0;0;1;0;0;0;0;0;0;0
LDL-receptor class A domain;1;1;0;0;0;0;1;1;1;1;1;1;1;0
NGF-beta family;1;0;0;0;0;0;1;0;0;0;1;0;0;0
PDGF/VEGF growth factor family;1;0;0;0;0;0;0;0;0;1;1;0;0;1
-SE-CTX-like;0;0;0;0;0;0;0;0;0;0;0;0;1;0
TCTP family;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Thyroglobulin_1, 2 hits DOMAIN;0;0;0;0;0;0;0;0;1;0;0;0;0;0
vasopressin/oxytocin family;0;0;0;1;0;0;0;0;0;0;0;0;1;0
venom complement C3 homolog family;0;0;0;0;1;0;0;1;0;0;1;1;0;1
